airport,date,total_flights,delayed_flights,avg_delay
ATL,2023-01-01,74,48,87.97916666666667
ATL,2023-01-02,76,43,93.06976744186046
ATL,2023-01-03,79,49,98.0
ATL,2023-01-04,93,64,97.265625
ATL,2023-01-05,78,46,93.69565217391305
ATL,2023-01-06,65,34,94.38235294117646
ATL,2023-01-07,84,50,88.84
ATL,2023-01-08,69,36,87.97222222222223
ATL,2023-01-09,79,47,90.87234042553192
ATL,2023-01-10,89,51,100.74509803921569
ATL,2023-01-11,91,51,95.33333333333333
ATL,2023-01-12,83,46,94.54347826086956
ATL,2023-01-13,80,42,91.42857142857143
ATL,2023-01-14,85,51,98.76470588235294
ATL,2023-01-15,77,47,85.42553191489361
ATL,2023-01-16,78,41,96.8780487804878
ATL,2023-01-17,81,45,79.88888888888889
ATL,2023-01-18,86,54,88.33333333333333
ATL,2023-01-19,88,51,86.80392156862744
ATL,2023-01-20,89,59,99.42372881355932
ATL,2023-01-21,66,35,103.08571428571429
ATL,2023-01-22,69,34,91.73529411764706
ATL,2023-01-23,71,44,81.25
ATL,2023-01-24,53,34,90.17647058823529
ATL,2023-01-25,82,53,96.45283018867924
ATL,2023-01-26,82,46,89.45652173913044
ATL,2023-01-27,79,50,93.82
ATL,2023-01-28,79,52,81.59615384615384
ATL,2023-01-29,82,50,90.42
ATL,2023-01-30,78,52,89.88461538461539
ATL,2023-01-31,80,41,94.63414634146342
ATL,2023-02-01,89,56,97.75
ATL,2023-02-02,79,47,92.36170212765957
ATL,2023-02-03,86,46,88.73913043478261
ATL,2023-02-04,88,50,105.46
ATL,2023-02-05,102,72,94.44444444444444
ATL,2023-02-06,74,45,98.55555555555556
ATL,2023-02-07,83,48,92.14583333333333
ATL,2023-02-08,88,48,101.25
ATL,2023-02-09,86,56,96.98214285714286
ATL,2023-02-10,80,48,101.47916666666667
ATL,2023-02-11,83,53,89.28301886792453
ATL,2023-02-12,94,60,101.86666666666666
ATL,2023-02-13,95,50,94.06
ATL,2023-02-14,71,44,103.8409090909091
ATL,2023-02-15,81,48,102.08333333333333
ATL,2023-02-16,86,55,81.30909090909091
ATL,2023-02-17,70,45,89.06666666666666
ATL,2023-02-18,82,51,88.86274509803921
ATL,2023-02-19,75,48,108.16666666666667
ATL,2023-02-20,80,43,107.67441860465117
ATL,2023-02-21,80,47,81.42553191489361
ATL,2023-02-22,79,49,85.46938775510205
ATL,2023-02-23,71,39,93.92307692307692
ATL,2023-02-24,88,43,99.67441860465117
ATL,2023-02-25,70,45,95.02222222222223
ATL,2023-02-26,76,47,97.91489361702128
ATL,2023-02-27,81,50,85.88
ATL,2023-02-28,88,60,88.35
ATL,2023-03-01,79,48,92.6875
ATL,2023-03-02,67,43,106.16279069767442
ATL,2023-03-03,76,36,98.58333333333333
ATL,2023-03-04,86,52,93.13461538461539
ATL,2023-03-05,94,54,94.25925925925925
ATL,2023-03-06,78,48,100.33333333333333
ATL,2023-03-07,82,50,93.98
ATL,2023-03-08,82,43,94.30232558139535
ATL,2023-03-09,86,49,96.10204081632654
ATL,2023-03-10,78,50,85.66
ATL,2023-03-11,82,52,91.01923076923077
ATL,2023-03-12,74,43,94.13953488372093
ATL,2023-03-13,86,49,80.95918367346938
ATL,2023-03-14,79,51,99.27450980392157
ATL,2023-03-15,85,50,95.86
ATL,2023-03-16,68,41,104.63414634146342
ATL,2023-03-17,75,43,93.72093023255815
ATL,2023-03-18,76,46,95.52173913043478
ATL,2023-03-19,65,46,99.43478260869566
ATL,2023-03-20,99,57,93.3859649122807
ATL,2023-03-21,89,47,99.19148936170212
ATL,2023-03-22,77,45,106.71111111111111
ATL,2023-03-23,79,47,102.08510638297872
ATL,2023-03-24,77,50,101.16
ATL,2023-03-25,82,49,106.6734693877551
ATL,2023-03-26,77,46,89.21739130434783
ATL,2023-03-27,76,41,96.09756097560975
ATL,2023-03-28,93,51,86.29411764705883
ATL,2023-03-29,93,51,79.33333333333333
ATL,2023-03-30,86,57,101.40350877192982
ATL,2023-03-31,75,48,82.91666666666667
ATL,2023-04-01,94,65,85.87692307692308
ATL,2023-04-02,73,42,87.95238095238095
ATL,2023-04-03,81,43,88.11627906976744
ATL,2023-04-04,67,42,94.88095238095238
ATL,2023-04-05,80,51,83.74509803921569
ATL,2023-04-06,82,55,95.78181818181818
ATL,2023-04-07,87,55,101.94545454545455
ATL,2023-04-08,82,47,100.12765957446808
ATL,2023-04-09,84,55,97.81818181818181
ATL,2023-04-10,72,40,90.875
ATL,2023-04-11,80,46,91.93478260869566
ATL,2023-04-12,90,57,92.84210526315789
ATL,2023-04-13,78,43,108.30232558139535
ATL,2023-04-14,84,57,86.36842105263158
ATL,2023-04-15,86,45,91.04444444444445
ATL,2023-04-16,75,42,92.02380952380952
ATL,2023-04-17,83,40,94.0
ATL,2023-04-18,88,54,94.66666666666667
ATL,2023-04-19,78,47,96.8936170212766
ATL,2023-04-20,71,34,99.47058823529412
ATL,2023-04-21,89,54,91.46296296296296
ATL,2023-04-22,79,50,86.52
ATL,2023-04-23,90,50,88.9
ATL,2023-04-24,68,37,88.8108108108108
ATL,2023-04-25,78,44,93.36363636363636
ATL,2023-04-26,74,42,90.5
ATL,2023-04-27,90,49,100.0204081632653
ATL,2023-04-28,90,54,100.98148148148148
ATL,2023-04-29,86,60,89.61666666666666
ATL,2023-04-30,76,49,100.63265306122449
ATL,2023-05-01,74,54,96.22222222222223
ATL,2023-05-02,68,32,86.375
ATL,2023-05-03,79,48,86.64583333333333
ATL,2023-05-04,90,52,94.90384615384616
ATL,2023-05-05,90,54,93.03703703703704
ATL,2023-05-06,85,53,98.18867924528301
ATL,2023-05-07,72,44,85.06818181818181
ATL,2023-05-08,80,51,103.72549019607843
ATL,2023-05-09,76,42,107.5
ATL,2023-05-10,88,55,101.83636363636364
ATL,2023-05-11,88,54,91.35185185185185
ATL,2023-05-12,92,55,98.98181818181818
ATL,2023-05-13,79,42,91.14285714285714
ATL,2023-05-14,70,38,91.21052631578948
ATL,2023-05-15,82,45,92.95555555555555
ATL,2023-05-16,85,55,88.7090909090909
ATL,2023-05-17,73,36,101.52777777777777
ATL,2023-05-18,89,54,93.66666666666667
ATL,2023-05-19,87,59,108.38983050847457
ATL,2023-05-20,81,45,92.04444444444445
ATL,2023-05-21,65,40,98.4
ATL,2023-05-22,75,39,88.97435897435898
ATL,2023-05-23,75,42,107.0952380952381
ATL,2023-05-24,91,52,98.63461538461539
ATL,2023-05-25,79,50,92.14
ATL,2023-05-26,80,51,85.11764705882354
ATL,2023-05-27,79,43,89.97674418604652
ATL,2023-05-28,95,60,89.53333333333333
ATL,2023-05-29,73,39,85.46153846153847
ATL,2023-05-30,77,49,100.36734693877551
ATL,2023-05-31,82,49,86.0204081632653
ATL,2023-06-01,95,58,86.48275862068965
ATL,2023-06-02,84,56,93.98214285714286
ATL,2023-06-03,89,48,94.14583333333333
ATL,2023-06-04,88,43,100.04651162790698
ATL,2023-06-05,82,51,92.82352941176471
ATL,2023-06-06,77,46,86.3695652173913
ATL,2023-06-07,62,39,82.25641025641026
ATL,2023-06-08,68,34,104.23529411764706
ATL,2023-06-09,89,46,98.23913043478261
ATL,2023-06-10,73,43,95.88372093023256
ATL,2023-06-11,78,42,88.16666666666667
ATL,2023-06-12,76,47,91.55319148936171
ATL,2023-06-13,82,44,83.61363636363636
ATL,2023-06-14,88,52,100.32692307692308
ATL,2023-06-15,78,52,85.9423076923077
ATL,2023-06-16,94,64,81.53125
ATL,2023-06-17,79,49,81.0204081632653
ATL,2023-06-18,78,45,92.31111111111112
ATL,2023-06-19,76,42,88.02380952380952
ATL,2023-06-20,83,57,96.0701754385965
ATL,2023-06-21,90,59,94.30508474576271
ATL,2023-06-22,102,65,98.61538461538461
ATL,2023-06-23,99,68,98.3970588235294
ATL,2023-06-24,92,58,98.05172413793103
ATL,2023-06-25,62,39,109.87179487179488
ATL,2023-06-26,82,49,98.73469387755102
ATL,2023-06-27,73,42,98.76190476190476
ATL,2023-06-28,85,45,82.33333333333333
ATL,2023-06-29,86,58,92.87931034482759
ATL,2023-06-30,84,46,108.17391304347827
ATL,2023-07-01,77,45,98.77777777777777
ATL,2023-07-02,76,49,91.3265306122449
ATL,2023-07-03,78,39,83.17948717948718
ATL,2023-07-04,85,53,92.01886792452831
ATL,2023-07-05,83,53,99.94339622641509
ATL,2023-07-06,95,60,98.73333333333333
ATL,2023-07-07,88,48,105.125
ATL,2023-07-08,77,41,90.21951219512195
ATL,2023-07-09,86,50,81.58
ATL,2023-07-10,85,49,96.9795918367347
ATL,2023-07-11,81,44,102.36363636363636
ATL,2023-07-12,68,40,102.85
ATL,2023-07-13,84,55,107.14545454545454
ATL,2023-07-14,83,56,97.0
ATL,2023-07-15,72,42,96.21428571428571
ATL,2023-07-16,72,32,89.375
ATL,2023-07-17,69,41,105.36585365853658
ATL,2023-07-18,84,46,93.80434782608695
ATL,2023-07-19,70,36,83.83333333333333
ATL,2023-07-20,90,54,89.22222222222223
ATL,2023-07-21,95,57,105.57894736842105
ATL,2023-07-22,84,52,95.73076923076923
ATL,2023-07-23,97,59,98.20338983050847
ATL,2023-07-24,87,50,85.9
ATL,2023-07-25,93,54,91.64814814814815
ATL,2023-07-26,82,50,91.54
ATL,2023-07-27,72,47,108.04255319148936
ATL,2023-07-28,77,54,92.94444444444444
ATL,2023-07-29,81,46,94.71739130434783
ATL,2023-07-30,76,55,94.69090909090909
ATL,2023-07-31,68,47,107.44680851063829
ATL,2023-08-01,69,37,89.45945945945945
ATL,2023-08-02,74,45,82.77777777777777
ATL,2023-08-03,84,52,102.71153846153847
ATL,2023-08-04,73,47,85.63829787234043
ATL,2023-08-05,76,51,87.23529411764706
ATL,2023-08-06,81,44,88.43181818181819
ATL,2023-08-07,91,49,95.79591836734694
ATL,2023-08-08,78,43,98.34883720930233
ATL,2023-08-09,86,47,101.04255319148936
ATL,2023-08-10,82,47,87.76595744680851
ATL,2023-08-11,86,49,93.42857142857143
ATL,2023-08-12,88,54,90.12962962962963
ATL,2023-08-13,87,49,99.73469387755102
ATL,2023-08-14,83,47,90.38297872340425
